,Function
TIGR03557,"F420-dependent oxidoreductase, G6PDH family"
TIGR02720,pyruvate oxidase
TIGR01660,"nitrate reductase, beta subunit"
TIGR02383,RNA chaperone Hfq
TIGR03528,diaminopropionate ammonia-lyase
TIGR04306,thiaminase II
TIGR03336,"indolepyruvate ferredoxin oxidoreductase, alpha subunit"
TIGR01764,"DNA binding domain, excisionase family"
TIGR00040,"phosphodiesterase, MJ0936 family"
TIGR00140,hydrogenase expression/formation protein
TIGR01946,"electron transport complex, RnfABCDGE type, D subunit"
TIGR04255,TIGR04255 family protein
TIGR01258,phosphoglycerate mutase 1 family
TIGR02328,conserved hypothetical protein
TIGR02779,"DNA ligase D, ligase domain"
TIGR02071,penicillin-binding protein 1B
TIGR01143,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
TIGR01877,CRISPR-associated endoribonuclease Cas6
TIGR01558,"putative phage terminase, small subunit, P27 family"
TIGR00641,methylmalonyl-CoA mutase N-terminal domain
TIGR03707,polyphosphate kinase 2
TIGR03714,accessory Sec system translocase SecA2
TIGR01341,aconitate hydratase 1
TIGR02142,"molybdate ABC transporter, ATP-binding protein"
TIGR01881,CRISPR type III-B/RAMP module-associated protein Cmr5
TIGR00209,galactose-1-phosphate uridylyltransferase
TIGR01307,"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)"
TIGR02474,pectate lyase
TIGR01866,CRISPR type II-A/NMEMI-associated protein Csn2
TIGR03909,pyrrolysine biosynthesis protein PylC
TIGR04328,"CRISPR-associated protein Cas4, subtype PREFRAN"
TIGR04060,formate transporter FocA
TIGR02867,stage II sporulation protein P
TIGR02195,lipopolysaccharide heptosyltransferase II
TIGR02228,signal peptidase I
TIGR03741,PRTRC system protein E
TIGR03526,putative selenium metabolism hydrolase
TIGR00842,"transporter, betaine/carnitine/choline transporter (BCCT) family"
TIGR00191,homoserine kinase
TIGR02891,"cytochrome c oxidase, subunit I"
TIGR00296,"uncharacterized protein, PH0010 family"
TIGR04037,"LLM-partnered FMN reductase, CE1759 family"
TIGR02491,anaerobic ribonucleoside-triphosphate reductase activating protein
TIGR00528,glycine cleavage system T protein
TIGR04246,"nitrous-oxide reductase, Sec-dependent"
TIGR01598,"holin, phage phi LC3 family"
TIGR00461,glycine dehydrogenase
TIGR02949,"anti-sigma factor, TIGR02949 family"
TIGR03850,"carbohydrate ABC transporter substrate-binding protein, CPR_0540 family"
TIGR01214,dTDP-4-dehydrorhamnose reductase
TIGR04481,proline reductase-associated electron transfer protein PrdC
TIGR01770,"proton-translocating NADH-quinone oxidoreductase, chain N"
TIGR01016,"succinate-CoA ligase, beta subunit"
TIGR01229,arginase
TIGR01743,pur operon repressor PurR
TIGR00398,methionine--tRNA ligase
TIGR01514,nicotinate phosphoribosyltransferase
TIGR02074,"penicillin-binding protein, 1A family"
TIGR04379,myo-inosose-2 dehydratase
TIGR03599,DAK2 domain fusion protein YloV
TIGR02125,"Ni/Fe-hydrogenase, b-type cytochrome subunit"
TIGR01830,3-oxoacyl-[acyl-carrier-protein] reductase
TIGR02209,cell division protein FtsL
TIGR00372,CRISPR-associated protein Cas4
TIGR02429,"3-oxoacid CoA-transferase, A subunit"
TIGR03491,"putative RecB family nuclease, TM0106 family"
TIGR00507,shikimate dehydrogenase
TIGR03520,gliding motility-associated protein GldE
TIGR02102,"pullulanase, extracellular"
TIGR03974,SCIFF radical SAM maturase
TIGR01073,ATP-dependent DNA helicase PcrA
TIGR04223,cyclic lactone autoinducer peptide
TIGR01524,magnesium-translocating P-type ATPase
TIGR01463,"methyltransferase, MtaA/CmuA family"
TIGR01655,conserved hypothetical protein
TIGR01321,trp operon repressor
TIGR03912,"pyrrolysine--tRNA ligase, N-terminal region"
TIGR00462,EF-P lysine aminoacylase GenX
TIGR01736,phosphoribosylformylglycinamidine synthase II
TIGR01722,methylmalonate-semialdehyde dehydrogenase (acylating)
TIGR02912,"sulfite reductase, subunit C"
TIGR01908,"CRISPR-associated protein Cas8b1/Cst1, subtype I-B/TNEAP"
TIGR04372,"putative glycosyltransferase, TIGR04372 family"
TIGR02075,UMP kinase
TIGR00546,apolipoprotein N-acyltransferase
TIGR01171,ribosomal protein uL2
TIGR03425,urea carboxylase-associated protein 2
TIGR01543,"phage prohead protease, HK97 family"
TIGR03690,"proteasome, beta subunit"
TIGR00561,"NAD(P)(+) transhydrogenase (AB-specific), alpha subunit"
TIGR00120,glutamate N-acetyltransferase/amino-acid acetyltransferase
TIGR03568,"UDP-N-acetyl-D-glucosamine 2-epimerase, UDP-hydrolysing"
TIGR00521,phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase
TIGR01948,"electron transport complex, RnfABCDGE type, E subunit"
TIGR00723,"hydrolyase, tartrate beta subunit/fumarate domain protein, Fe-S type"
TIGR00774,Na+/H+ antiporter NhaB
TIGR02582,CRISPR type III-A/MTUBE-associated RAMP protein Csm3
TIGR01943,"electron transport complex, RnfABCDGE type, A subunit"
TIGR02866,"cytochrome c oxidase, subunit II"
TIGR00072,hydrogenase maturation protease
TIGR01308,ribosomal protein uL30
TIGR04384,putrescine carbamoyltransferase
TIGR00095,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
TIGR02306,RNA ligase
TIGR02713,allophanate hydrolase
TIGR00123,cobalamin biosynthesis protein CbiM
TIGR04418,primosomal replication protein PriB
TIGR04337,AmmeMemoRadiSam system radical SAM enzyme
TIGR03928,type VII secretion protein EssC
TIGR01241,ATP-dependent metallopeptidase HflB
TIGR03152,"formate-dependent cytochrome c nitrite reductase, c552 subunit"
TIGR01198,6-phosphogluconolactonase
TIGR04330,"CRISPR-associated protein Cpf1, subtype PREFRAN"
TIGR03217,4-hydroxy-2-oxovalerate aldolase
TIGR00545,lipoyltransferase and lipoate-protein ligase
TIGR01215,cell division topological specificity factor MinE
TIGR03746,"integrating conjugative element protein, PFL_4703 family"
TIGR02547,CRISPR type I-E/ECOLI-associated protein CasA/Cse1
TIGR01234,ribulokinase
TIGR00562,protoporphyrinogen oxidase
TIGR01995,"PTS system, beta-glucoside-specific IIABC component"
TIGR03991,UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
TIGR00693,thiamine-phosphate diphosphorylase
TIGR03341,IscR-regulated protein YhgI
TIGR01603,"phage major tail protein, phi13 family"
TIGR04474,three-Cys-motif partner protein
TIGR03592,"membrane protein insertase, YidC/Oxa1 family"
TIGR03930,WXG100 family type VII secretion target
TIGR03844,cysteate synthase
TIGR01725,"phage protein, HK97 gp10 family"
TIGR01236,1-pyrroline-5-carboxylate dehydrogenase
TIGR02386,"DNA-directed RNA polymerase, beta' subunit"
TIGR00466,3-deoxy-D-manno-octulosonate cytidylyltransferase
TIGR03065,"sortase B signal domain, QVPTGV class"
TIGR01687,MoaD family protein
TIGR01017,ribosomal protein uS4
TIGR00463,glutamate--tRNA ligase
TIGR01938,"NADH:ubiquinone oxidoreductase, Na(+)-translocating, C subunit"
TIGR01747,diaminopropionate ammonia-lyase family
TIGR03543,DivIVA domain repeat protein
TIGR04134,"putative lipoprotein, rSAM/lipoprotein system"
TIGR02812,fatty acid metabolism transcriptional regulator FadR
TIGR01910,"peptidase, ArgE/DapE family"
TIGR02543,"repeat, TIGR02543 family"
TIGR02578,"CRISPR-associated protein Cas10/Csm1, subtype III-A/MTUBE"
TIGR00420,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
TIGR02034,"sulfate adenylyltransferase, large subunit"
TIGR00423,"radical SAM domain protein, CofH subfamily"
TIGR01024,ribosomal protein bL19
TIGR02637,"rhamnose ABC transporter, rhamnose-binding protein"
TIGR01132,"phosphoglucomutase, alpha-D-glucose phosphate-specific"
TIGR00575,"NAD-dependent DNA ligases"
TIGR01162,"phosphoribosylaminoimidazole carboxylase, catalytic subunit"
TIGR02618,tyrosine phenol-lyase
TIGR03132,triphosphoribosyl-dephospho-CoA synthase MdcB
TIGR02887,"germination protein, Ger(x)C family"
TIGR00573,"exonuclease, DNA polymerase III, epsilon subunit family"
TIGR03652,iron-sulfur cluster repair di-iron protein
TIGR01362,3-deoxy-8-phosphooctulonate synthase
TIGR01610,"phage replication protein O, N-terminal domain"
TIGR03897,type 2 lantibiotic biosynthesis protein LanM
TIGR01451,conserved repeat domain
TIGR04065,"putative bacteriocin precursor, CLI_3235 family"
TIGR02670,"CRISPR-associated protein Cas8a1/Csx8, subtype I"
TIGR03081,methylmalonyl-CoA epimerase
TIGR00305,"putative toxin-antitoxin system toxin component, PIN family"
TIGR01704,MTA/SAH nucleosidase
TIGR00486,"dinuclear metal center protein, YbgI/SA1388 family"
TIGR03548,cyclically-permuted mutarotase family protein
TIGR01191,heme exporter protein CcmC
TIGR00164,phosphatidylserine decarboxylase homolog
TIGR04378,5-deoxy-glucuronate isomerase
TIGR04080,KxxxW cyclic peptide radical SAM maturase
TIGR01761,thiazolinyl imide reductase
TIGR01843,"type I secretion membrane fusion protein, HlyD family"
TIGR01826,conserved hypothetical protein
TIGR00475,selenocysteine-specific translation elongation factor
TIGR01529,arginine repressor
TIGR01888,CRISPR type III-B/RAMP module-associated protein Cmr3
TIGR01187,"polyamine ABC transporter, ATP-binding protein"
TIGR01584,"citrate lyase, alpha subunit"
TIGR01778,TonB-dependent copper receptor
TIGR00393,"sugar isomerase, KpsF/GutQ family"
TIGR03824,"flagellar biosynthesis anti-sigma factor FlgM"
TIGR00644,single-stranded-DNA-specific exonuclease RecJ
TIGR00341,TIGR00341 family protein
TIGR00916,"protein-export membrane protein, SecD/SecF family"
TIGR03010,sulfur relay protein TusC/DsrF
TIGR00932,"transporter, monovalent cation:proton antiporter-2 (CPA2) family"
TIGR00287,CRISPR-associated endonuclease Cas1
TIGR00786,"TRAP transporter, DctM subunit"
TIGR02157,"phenylacetate-CoA oxygenase, PaaH subunit"
TIGR01129,protein-export membrane protein SecD
TIGR01449,"phosphoglycolate phosphatase, bacterial"
TIGR03342,"sulfur relay protein, TusE/DsrC/DsvC family"
TIGR02548,CRISPR type I-E/ECOLI-associated protein CasB/Cse2
TIGR01158,putative translation initiation factor SUI1
TIGR02688,TIGR02688 family protein
TIGR03262,"putative 2-aminoethylphosphonate ABC transporter, permease protein"
TIGR03127,6-phospho 3-hexuloisomerase
TIGR01353,putative dGTPase
TIGR00773,Na+/H+ antiporter NhaA
TIGR03303,"outer membrane protein assembly complex, YaeT protein"
TIGR01825,putative pyridoxal phosphate-dependent acyltransferase
TIGR02535,proposed homoserine kinase
TIGR03153,"cytochrome c nitrite reductase, small subunit"
TIGR01163,ribulose-phosphate 3-epimerase
TIGR00039,6-pyruvoyl tetrahydropterin synthase/QueD family protein
TIGR03292,phosphonate C-P lyase system protein PhnH
TIGR03688,proteasome accessory factor PafA2
TIGR02317,methylisocitrate lyase
TIGR01182,2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase
TIGR02870,stage II sporulation protein D
TIGR00256,D-tyrosyl-tRNA(Tyr) deacylase
TIGR00261,TraB family protein
TIGR01175,type IV pilus assembly protein PilM
TIGR01422,phosphonoacetaldehyde hydrolase
TIGR00320,desulfoferrodoxin
TIGR00188,ribonuclease P protein component
TIGR03293,phosphonate C-P lyase system protein PhnG
TIGR00514,"acetyl-CoA carboxylase, biotin carboxylase subunit"
TIGR01918,"selenoprotein B, glycine/betaine/sarcosine/D-proline reductase family"
TIGR03919,type VII secretion protein EccB
TIGR03618,PPOX class probable F420-dependent enzyme
TIGR00155,"integral membrane protein, PqiA family"
TIGR02314,"D-methionine ABC transporter, ATP-binding protein"
TIGR01935,RraA family
TIGR00431,tRNA pseudouridine(55) synthase
TIGR01298,ribonuclease T
TIGR00760,L-ribulose-5-phosphate 4-epimerase
TIGR00474,L-seryl-tRNA(Sec) selenium transferase
TIGR03773,putative ABC transporter-associated repeat protein
TIGR00118,"acetolactate synthase, large subunit, biosynthetic type"
TIGR01415,pyridoxal-phosphate dependent TrpB-like enzyme
TIGR01417,phosphoenolpyruvate-protein phosphotransferase
TIGR02734,phytoene desaturase
TIGR04265,cardiolipin synthase
TIGR02506,"ribonucleoside-diphosphate reductase, alpha subunit"
TIGR00518,alanine dehydrogenase
TIGR01906,integral membrane protein TIGR01906
TIGR01517,"calcium-translocating P-type ATPase, PMCA-type"
TIGR03110,exosortase family protein XrtG
TIGR00055,"di-trans,poly-cis-decaprenylcistransferase"
TIGR00690,"DNA-directed RNA polymerase, omega subunit"
TIGR02794,protein TolA
TIGR00177,molybdenum cofactor synthesis domain
TIGR03378,"glycerol-3-phosphate dehydrogenase, anaerobic, B subunit"
TIGR00358,VacB and RNase II family 3'-5' exoribonucleases
TIGR01409,Tat (twin-arginine translocation) pathway signal sequence
TIGR00312,cobalamin biosynthesis protein CbiD
TIGR03181,"pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit"
TIGR03506,flagellar hook-basal body protein
TIGR01135,glutamine-fructose-6-phosphate transaminase (isomerizing)
TIGR04291,arsenical pump-driving ATPase
TIGR01071,ribosomal protein uL15
TIGR00061,ribosomal protein bL21
TIGR03949,"class IIb bacteriocin, lactobin A/cerein 7B family"
TIGR01868,"CRISPR-associated protein Cas5/CasD, subtype I-E/ECOLI"
TIGR01277,"thiamine ABC transporter, ATP-binding protein"
TIGR00719,"L-serine dehydratase, iron-sulfur-dependent, beta subunit"
TIGR03348,type VI secretion protein IcmF
TIGR00355,phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
TIGR00195,exodeoxyribonuclease III
TIGR01096,lysine-arginine-ornithine-binding periplasmic protein
TIGR03355,"type VI secretion protein, EvpB/VC_A0108 family"
TIGR03367,queuosine biosynthesis protein QueD
TIGR02577,"CRISPR-associated protein Cas10/Cmr2, subtype III-B"
TIGR02528,"ethanolamine utilization protein, EutP"
TIGR03716,"integral membrane protein, YkoY family"
TIGR01580,"nitrate reductase, alpha subunit"
TIGR03137,peroxiredoxin
TIGR03421,iron donor protein CyaY
TIGR00022,YhcH/YjgK/YiaL family protein
TIGR01457,"HAD hydrolase, TIGR01457 family"
TIGR00667,leucyl/phenylalanyl-tRNA--protein transferase
TIGR04332,poly-gamma-glutamate system protein
TIGR00797,MATE efflux family protein
TIGR00851,"PTS system, mannitol-specific IIC component"
TIGR00779,cadmium resistance transporter family protein
TIGR01446,DnaD domain protein
TIGR00396,leucine--tRNA ligase
TIGR02479,"RNA polymerase sigma factor, FliA/WhiG family"
TIGR02085,23S rRNA (uracil-5-)-methyltransferase RumB
TIGR00044,"pyridoxal phosphate enzyme, YggS family"
TIGR01977,cysteine desulfurase family protein
TIGR01488,"HAD phosphoserine phosphatase-like hydrolase, family IB"
TIGR02137,phosphoserine phosphatase/homoserine phosphotransferase bifunctional protein
TIGR01737,phosphoribosylformylglycinamidine synthase I
TIGR01626,"conserved hypothetical protein YtfJ-family, TIGR01626"
TIGR01702,"carbon-monoxide dehydrogenase, catalytic subunit"
TIGR00053,"addiction module toxin component, YafQ family"
TIGR01238,delta-1-pyrroline-5-carboxylate dehydrogenase
TIGR01316,"glutamate synthase (NADPH), homotetrameric"
TIGR00538,oxygen-independent coproporphyrinogen III oxidase
TIGR03754,"conjugative coupling factor TraD, PFGI-1 class"
TIGR00197,YjeF family N-terminal domain
TIGR01915,NADPH-dependent F420 reductase
TIGR00135,"aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit"
TIGR00517,acyl carrier protein
TIGR01784,conserved hypothetical protein
TIGR01313,"carbohydrate kinase, thermoresistant glucokinase family"
TIGR00716,ribonuclease HIII
TIGR01799,chorismate mutase
TIGR00722,"hydrolyase, tartrate alpha subunit/fumarate domain protein, Fe-S type"
TIGR03188,phosphoribosyl-ATP diphosphatase
TIGR00737,"putative TIM-barrel protein, nifR3 family"
TIGR04170,"ribonucleoside-diphosphate reductase, class 1b, alpha subunit"
TIGR04398,SLAP domain
TIGR02213,"lipoprotein releasing system, transmembrane protein LolE"
TIGR01909,C_GCAxxG_C_C family protein
TIGR02848,stage III sporulation protein AC
TIGR01252,alpha-acetolactate decarboxylase
TIGR01582,"formate dehydrogenase, beta subunit"
TIGR01467,precorrin-2 C(20)-methyltransferase
TIGR04382,5-dehydro-2-deoxygluconokinase
TIGR02945,"FeS assembly SUF system protein"
TIGR01863,"CRISPR-associated protein Cas8c/Csd1, subtype I-C/DVULG"
TIGR00007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
TIGR02889,germination protein YpeB
TIGR02190,glutaredoxin-family domain
TIGR03924,type VII secretion protein EccCa
TIGR01075,DNA helicase II
TIGR01356,3-phosphoshikimate 1-carboxyvinyltransferase
TIGR01574,tRNA-i(6)A37 thiotransferase enzyme MiaB
TIGR00751,"1,4-dihydroxy-2-naphthoate octaprenyltransferase"
TIGR00410,"PTS system, lactose/cellobiose family IIC component"
TIGR04308,surface protein repeat SSSPR-51
TIGR00446,NOL1/NOP2/sun family putative RNA methylase
TIGR01552,prevent-host-death family protein
TIGR01398,flagellar biosynthesis protein FlhA
TIGR03532,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase"
TIGR01643,YD repeat (two copies)
TIGR02289,"oligoendopeptidase, M3 family"
TIGR02482,6-phosphofructokinase
TIGR03920,type VII secretion integral membrane protein EccD
TIGR02495,anaerobic ribonucleoside-triphosphate reductase activating protein
TIGR01322,sucrose-6-phosphate hydrolase
TIGR02086,"3-isopropylmalate dehydratase, large subunit"
TIGR00801,uracil-xanthine permease
TIGR00167,ketose-bisphosphate aldolase
TIGR01437,uncharacterized pyridoxal phosphate-dependent enzyme
TIGR04193,"SPASM domain peptide maturase, grasp-with-spasm system"
TIGR02380,undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphatetransferase
TIGR02193,lipopolysaccharide heptosyltransferase I
TIGR00276,epoxyqueuosine reductase
TIGR02415,acetoin reductases
TIGR02636,galactose mutarotase
TIGR01561,"putative glycogen debranching enzyme, archaeal type"
TIGR03936,radical SAM-linked protein
TIGR01379,thiamine-phosphate kinase
TIGR02318,phosphonate metabolism protein PhnM
TIGR03705,polyphosphate kinase 1
TIGR02320,phosphoenolpyruvate mutase
TIGR04408,LPS export ABC transporter permease LptG
TIGR00770,"transporter, anaerobic C4-dicarboxylate uptake (Dcu) family"
TIGR00975,"phosphate ABC transporter, phosphate-binding protein PstS"
TIGR01034,methionine adenosyltransferase
TIGR00048,23S rRNA (adenine(2503)-C(2))-methyltransferase
TIGR01406,"DNA polymerase III, epsilon subunit"
TIGR04114,modification target Cys-rich repeat
TIGR01402,flagellar biosynthetic protein FliQ
TIGR02696,guanosine pentaphosphate synthetase I/polyribonucleotide nucleotidyltransferase
TIGR04053,"radical SAM protein, BA_1875 family"
TIGR01814,kynureninase
TIGR00459,aspartate--tRNA ligase
TIGR00621,single-stranded DNA-binding protein
TIGR03772,"anchored repeat ABC transporter, substrate-binding protein"
TIGR02114,phosphopantothenate--cysteine ligase
TIGR00790,formate/nitrite transporter
TIGR02580,CRISPR type III-B/RAMP module RAMP protein Cmr4
TIGR00193,"urease, gamma subunit"
TIGR01069,"Unknown"
TIGR02665,molybdenum cofactor guanylyltransferase
TIGR00086,SsrA-binding protein
TIGR03798,nif11-like leader peptide domain
TIGR00088,tRNA (guanine(37)-N(1))-methyltransferase
TIGR00629,UV damage endonuclease UvdE
TIGR02714,ring-opening amidohydrolases
TIGR02436,four helix bundle protein
TIGR03820,"lysine-2,3-aminomutase"
TIGR01407,putative DnaQ family exonuclease/DinG family helicase
TIGR03417,choline-sulfatase
TIGR03319,ribonuclease Y
TIGR03838,glutamyl-queuosine tRNA(Asp) synthetase
TIGR02037,peptidase Do
TIGR01050,ribosomal protein uS19
TIGR02292,yecA family protein
TIGR01953,transcription termination factor NusA
TIGR02478,6-phosphofructokinase
TIGR04424,McbB family protein
TIGR00516,holo-[acyl-carrier-protein] synthase
TIGR01000,bacteriocin secretion accessory protein
TIGR03831,YgiT-type zinc finger domain
TIGR01084,A/G-specific adenine glycosylase
TIGR03002,lipopolysaccharide transport periplasmic protein LptA
TIGR02419,"phage/conjugal plasmid C-4 type zinc finger protein, TraR family"
TIGR02304,putative adenylate-forming enzyme
TIGR01048,diaminopimelate decarboxylase
TIGR00361,DNA internalization-related competence protein ComEC/Rec2
TIGR00325,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
TIGR02357,energy-coupled thiamine transporter ThiT
TIGR03172,putative selenium-dependent hydroxylase accessory protein YqeC
TIGR01469,uroporphyrinogen-III C-methyltransferase
TIGR00550,"quinolinate synthetase complex, A subunit"
TIGR01091,uracil phosphoribosyltransferase
TIGR02400,"alpha,alpha-trehalose-phosphate synthase (UDP-forming)"
TIGR02710,"CRISPR-associated protein, TIGR02710 family"
TIGR03804,parallel beta-helix repeat
TIGR02351,thiazole biosynthesis protein ThiH
TIGR04271,thiazole biosynthesis domain
TIGR04340,"radical SAM/SPASM domain protein, ACGX system"
TIGR02799,tol-pal system-associated acyl-CoA thioesterase
TIGR00928,adenylosuccinate lyase
TIGR00250,putative transcription antitermination factor YqgF
TIGR01753,flavodoxin
TIGR01967,RNA helicase HrpA
TIGR02079,threonine dehydratase
TIGR03331,S-adenosylmethionine decarboxylase proenzyme
TIGR00496,ribosome recycling factor
TIGR00877,phosphoribosylamine--glycine ligase
TIGR02818,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
TIGR00526,FolB domain
TIGR01999,FeS cluster assembly scaffold IscU
TIGR00497,"type I restriction-modification system, M subunit"
TIGR03873,"proposed F420-0 ABC transporter, ATP-binding protein"
TIGR03757,"integrating conjugative element protein, PFL_4709 family"
TIGR01472,"GDP-mannose 4,6-dehydratase"
TIGR04335,AmmeMemoRadiSam system protein A
TIGR00103,"DNA-binding protein, YbaB/EbfC family"
TIGR01123,branched-chain amino acid aminotransferase
TIGR00689,"sugar-phosphate isomerase, RpiB/LacA/LacB family"
TIGR03736,PRTRC system ThiF family protein
TIGR00110,dihydroxy-acid dehydratase
TIGR01390,"2',3'-cyclic-nucleotide 2'-phosphodiesterase"
TIGR01596,CRISPR-associated endonuclease Cas3-HD
TIGR00539,putative oxygen-independent coproporphyrinogen III oxidase
TIGR02550,flagellar hook-associated protein 3
TIGR00364,"queuosine biosynthesis protein"
TIGR00347,dethiobiotin synthase
TIGR03786,streptococcal pilin isopeptide linkage domain
TIGR00119,"acetolactate synthase, small subunit"
TIGR00532,"hydroxymethylglutaryl-CoA reductase, degradative"
TIGR00129,formate dehydrogenase family accessory protein FdhD
TIGR00631,excinuclease ABC subunit B
TIGR00648,recombination protein U
TIGR02594,TIGR02594 family protein
TIGR02722,uncharacterized lipoprotein
TIGR03022,"undecaprenyl-phosphate galactose phosphotransferase"
TIGR01731,adhesin HecA family 20-residue repeat (two copies)
TIGR01501,"methylaspartate mutase, S subunit"
TIGR01907,"CRISPR-associated protein Cas6/Cse3/CasE, subtype I-E/ECOLI"
TIGR01367,orotate phosphoribosyltransferase
TIGR02089,tartrate dehydrogenase
TIGR02143,tRNA (uracil(54)-C(5))-methyltransferase
TIGR01134,amidophosphoribosyltransferase
TIGR02681,"phage regulatory protein, Rha family"
TIGR00052,"nudix-type nucleoside diphosphatase, YffH/AdpP family"
TIGR00221,N-acetylglucosamine-6-phosphate deacetylase
TIGR00697,conserved hypothetical integral membrane protein
TIGR01562,formate dehydrogenase accessory protein FdhE
TIGR00763,endopeptidase La
TIGR01936,"NADH:ubiquinone oxidoreductase, Na(+)-translocating, A subunit"
TIGR00359,"PTS system, cellobiose-specific IIC component"
TIGR02653,conserved hypothetical protein
TIGR00924,amino acid/peptide transporter (Peptide:H+ symporter)
TIGR03023,undecaprenyl-phosphate glucose phosphotransferase
TIGR00302,"phosphoribosylformylglycinamidine synthase, purS protein"
TIGR02480,flagellar motor switch protein FliN
TIGR00494,protein CrcB
TIGR02003,"PTS system, IIBC component"
TIGR03349,"type IV/VI secretion system protein, DotU family"
TIGR02327,conserved hypothetical integral membrane protein
TIGR00223,aspartate 1-decarboxylase
TIGR00062,ribosomal protein bL27
TIGR03424,urea carboxylase-associated protein 1
TIGR00505,GTP cyclohydrolase II
TIGR00390,"ATP-dependent protease HslVU, ATPase subunit"
TIGR04150,"pseudo-rSAM protein, GG-Bacteroidales system"
TIGR01972,"proton-translocating NADH-quinone oxidoreductase, chain M"
TIGR04090,"alternate signal-mediated exported protein, CPF_0494 family"
TIGR01481,catabolite control protein A
TIGR01311,glycerol kinase
TIGR04157,"glycosyltransferase, GG-Bacteroidales peptide system"
TIGR00215,lipid-A-disaccharide synthase
TIGR04350,putative C-S lyase
TIGR02198,"bifunctional protein RfaE, domain I"
TIGR01771,L-lactate dehydrogenase
TIGR00238,KamA family protein
TIGR00104,"tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase TsaA"
TIGR00133,"aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit"
TIGR00510,lipoyl synthase
TIGR02601,autotransporter-associated beta strand repeat
TIGR03315,"putative selenate reductase, YgfK subunit"
TIGR01772,"malate dehydrogenase, NAD-dependent"
TIGR00313,cobyric acid synthase CobQ
TIGR01653,"bacteriocin, lactococcin 972 family"
TIGR00694,hydroxyethylthiazole kinase
TIGR00094,"tRNA pseudouridine synthase, TruD family"
TIGR01968,septum site-determining protein MinD
TIGR01312,xylulokinase
TIGR02453,TIGR02453 family protein
TIGR01207,glucose-1-phosphate thymidylyltransferase
TIGR01931,"sulfite reductase [NADPH] flavoprotein, alpha-component"
TIGR03025,"exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase"
TIGR01696,phosphopentomutase
TIGR02911,"sulfite reductase, subunit B"
TIGR02414,aminopeptidase N
TIGR02194,glutaredoxin-like protein NrdH
TIGR04133,"radical SAM enzyme, rSAM/lipoprotein system"
TIGR03990,phosphoglucosamine mutase
TIGR03263,guanylate kinase
TIGR00642,"methylmalonyl-CoA mutase, small subunit"
TIGR02845,stage V sporulation protein AD
TIGR00401,peptide-methionine (S)-S-oxide reductase
TIGR02402,malto-oligosyltrehalose trehalohydrolase
TIGR01560,uncharacterized phage protein (possible DNA packaging)
TIGR00837,aromatic amino acid transport protein
TIGR03552,2-phospho-L-lactate guanylyltransferase
TIGR01261,histidinol-phosphatase
TIGR01563,putative phage head-tail adaptor
TIGR01980,FeS assembly protein SufB
TIGR02005,"PTS system, alpha-glucoside-specific IIBC component"
TIGR01397,flagellar motor switch protein FliM
TIGR04076,TIGR04076 family protein
TIGR00079,peptide deformylase
TIGR03689,proteasome ATPase
TIGR02712,urea carboxylase
TIGR02477,diphosphate--fructose-6-phosphate 1-phosphotransferase
TIGR03802,aspartate-alanine antiporter
TIGR02035,D-serine ammonia-lyase
TIGR00236,UDP-N-acetylglucosamine 2-epimerase
TIGR00853,"PTS system, lactose/cellobiose family IIB component"
TIGR02122,"TRAP transporter solute receptor, TAXI family"
TIGR01928,o-succinylbenzoate synthase
TIGR03521,gliding-associated putative ABC transporter substrate-binding component GldG
TIGR01378,thiamine pyrophosphokinase
TIGR02412,aminopeptidase N
TIGR02639,ATP-dependent Clp protease ATP-binding subunit ClpA
TIGR02447,putative thioesterase domain
TIGR00972,"phosphate ABC transporter, ATP-binding protein"
TIGR04115,"radical SAM peptide maturase, CXXX-repeat target family"
TIGR01800,2-methylcitrate synthase/citrate synthase II
TIGR00008,translation initiation factor IF-1
TIGR01256,"molybdate ABC transporter, periplasmic molybdate-binding protein"
TIGR02152,ribokinase
TIGR01611,phage major tail tube protein
TIGR03711,accessory Sec system protein Asp3
TIGR03631,ribosomal protein uS13
TIGR01133,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
