TIGRFAM,ROLE_ID,SubRole,MainRole,Role
TIGR02698,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR02698,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02699,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR02700,157,General,Unknown function,Unknown function::General
TIGR02701,698,One-carbon metabolism,Central intermediary metabolism,Central intermediary metabolism::One-carbon metabolism
TIGR02702,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02702,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02703,698,One-carbon metabolism,Central intermediary metabolism,Central intermediary metabolism::One-carbon metabolism
TIGR02704,698,One-carbon metabolism,Central intermediary metabolism,Central intermediary metabolism::One-carbon metabolism
TIGR02705,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR02706,114,Fermentation,Energy metabolism,Energy metabolism::Fermentation
TIGR02707,114,Fermentation,Energy metabolism,Energy metabolism::Fermentation
TIGR02708,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02709,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR02710,719,NA,NA,NA::NA
TIGR02711,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR02712,160,Nitrogen metabolism,Central intermediary metabolism,Central intermediary metabolism::Nitrogen metabolism
TIGR02713,160,Nitrogen metabolism,Central intermediary metabolism,Central intermediary metabolism::Nitrogen metabolism
TIGR02715,703,Enzymes of unknown specificity,Unknown function,Unknown function::Enzymes of unknown specificity
TIGR02716,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Chlorophyll and bacteriochlorphyll"
TIGR02718,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR02719,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02720,108,Aerobic,Energy metabolism,Energy metabolism::Aerobic
TIGR02721,162,Thiamine,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Thiamine"
TIGR02722,88,Other,Cell envelope,Cell envelope::Other
TIGR02723,110,Anaerobic,Energy metabolism,Energy metabolism::Anaerobic
TIGR02726,110,Anaerobic,Energy metabolism,Energy metabolism::Anaerobic
TIGR02727,698,One-carbon metabolism,Central intermediary metabolism,Central intermediary metabolism::One-carbon metabolism
TIGR02728,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02729,136,Other,Protein synthesis,Protein synthesis::Other
TIGR02730,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02731,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02733,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02734,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02735,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Purine ribonucleotide biosynthesis"
TIGR02736,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR02748,81,Menaquinone and ubiquinone,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Menaquinone and ubiquinone"
TIGR02749,81,Menaquinone and ubiquinone,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Menaquinone and ubiquinone"
TIGR02751,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02752,81,Menaquinone and ubiquinone,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Menaquinone and ubiquinone"
TIGR02754,96,Detoxification,Cellular processes,Cellular processes::Detoxification
TIGR02754,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR02757,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR02762,702,Conjugation,Cellular processes,Cellular processes::Conjugation
TIGR02763,152,Prophage functions,Mobile and extrachromosomal element functions,Mobile and extrachromosomal element functions::Prophage functions
TIGR02764,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02765,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR02769,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR02770,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR02772,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR02773,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR02774,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR02775,702,Conjugation,Cellular processes,Cellular processes::Conjugation
TIGR02776,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR02777,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR02781,702,Conjugation,Cellular processes,Cellular processes::Conjugation
TIGR02782,702,Conjugation,Cellular processes,Cellular processes::Conjugation
TIGR02783,702,Conjugation,Cellular processes,Cellular processes::Conjugation
TIGR02784,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR02785,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR02786,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR02787,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02789,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR02790,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR02792,108,Aerobic,Energy metabolism,Energy metabolism::Aerobic
TIGR02793,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02794,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR02794,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR02796,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR02796,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR02797,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR02800,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR02800,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR02801,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR02801,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR02805,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR02806,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate,"Protein fate::Degradation of proteins, peptides, and glycopeptides"
TIGR02806,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR02807,719,NA,NA,NA::NA
TIGR02808,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR02810,119,Sugars,Energy metabolism,Energy metabolism::Sugars
TIGR02811,157,General,Unknown function,Unknown function::General
TIGR02812,176,Biosynthesis,Fatty acid and phospholipid metabolism,Fatty acid and phospholipid metabolism::Biosynthesis
TIGR02812,177,Degradation,Fatty acid and phospholipid metabolism,Fatty acid and phospholipid metabolism::Degradation
TIGR02812,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02817,114,Fermentation,Energy metabolism,Energy metabolism::Fermentation
TIGR02818,96,Detoxification,Cellular processes,Cellular processes::Detoxification
TIGR02818,114,Fermentation,Energy metabolism,Energy metabolism::Fermentation
TIGR02819,698,One-carbon metabolism,Central intermediary metabolism,Central intermediary metabolism::One-carbon metabolism
TIGR02820,96,Detoxification,Cellular processes,Cellular processes::Detoxification
TIGR02820,698,One-carbon metabolism,Central intermediary metabolism,Central intermediary metabolism::One-carbon metabolism
TIGR02821,96,Detoxification,Cellular processes,Cellular processes::Detoxification
TIGR02822,114,Fermentation,Energy metabolism,Energy metabolism::Fermentation
TIGR02823,703,Enzymes of unknown specificity,Unknown function,Unknown function::Enzymes of unknown specificity
TIGR02824,703,Enzymes of unknown specificity,Unknown function,Unknown function::Enzymes of unknown specificity
TIGR02826,123,2'-Deoxyribonucleotide metabolism,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::2'-Deoxyribonucleotide metabolism"
TIGR02827,123,2'-Deoxyribonucleotide metabolism,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::2'-Deoxyribonucleotide metabolism"
TIGR02828,141,Unknown substrate,Transport and binding proteins,Transport and binding proteins::Unknown substrate
TIGR02829,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02830,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02831,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02832,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02833,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02834,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02835,165,Transcription factors,Transcription,Transcription::Transcription factors
TIGR02835,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02836,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02837,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02838,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02839,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02840,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02841,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02842,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR02843,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR02844,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02844,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02845,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02846,165,Transcription factors,Transcription,Transcription::Transcription factors
TIGR02846,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02847,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR02848,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02849,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02850,165,Transcription factors,Transcription,Transcription::Transcription factors
TIGR02850,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02851,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02851,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02852,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02853,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02854,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02855,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02856,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02858,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02859,165,Transcription factors,Transcription,Transcription::Transcription factors
TIGR02859,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02860,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02861,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02862,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02863,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02864,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02865,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02866,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR02867,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02869,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02870,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02871,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02872,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02873,105,Biosynthesis and degradation of polysaccharides,Energy metabolism,Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR02873,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02874,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02875,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02876,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02877,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02878,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02881,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02882,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR02883,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02883,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02884,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02884,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02885,165,Transcription factors,Transcription,Transcription::Transcription factors
TIGR02885,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02886,263,Protein interactions,Regulatory functions,Regulatory functions::Protein interactions
TIGR02886,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02887,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR02887,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02888,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02889,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02890,157,General,Unknown function,Unknown function::General
TIGR02891,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR02892,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02893,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02894,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02894,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02895,165,Transcription factors,Transcription,Transcription::Transcription factors
TIGR02895,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02896,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02897,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR02898,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02899,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02900,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02901,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR02902,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate,"Protein fate::Degradation of proteins, peptides, and glycopeptides"
TIGR02902,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02903,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate,"Protein fate::Degradation of proteins, peptides, and glycopeptides"
TIGR02903,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02904,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02905,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02906,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02907,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02908,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR02910,106,Sulfur metabolism,Central intermediary metabolism,Central intermediary metabolism::Sulfur metabolism
TIGR02911,106,Sulfur metabolism,Central intermediary metabolism,Central intermediary metabolism::Sulfur metabolism
TIGR02912,106,Sulfur metabolism,Central intermediary metabolism,Central intermediary metabolism::Sulfur metabolism
TIGR02914,141,Unknown substrate,Transport and binding proteins,Transport and binding proteins::Unknown substrate
TIGR02915,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02916,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02916,699,Two-component systems,Signal transduction,Signal transduction::Two-component systems
TIGR02918,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR02919,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR02920,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02922,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR02924,120,TCA cycle,Energy metabolism,Energy metabolism::TCA cycle
TIGR02928,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR02929,179,Nitrogen fixation,Central intermediary metabolism,Central intermediary metabolism::Nitrogen fixation
TIGR02930,179,Nitrogen fixation,Central intermediary metabolism,Central intermediary metabolism::Nitrogen fixation
TIGR02931,179,Nitrogen fixation,Central intermediary metabolism,Central intermediary metabolism::Nitrogen fixation
TIGR02932,179,Nitrogen fixation,Central intermediary metabolism,Central intermediary metabolism::Nitrogen fixation
TIGR02933,179,Nitrogen fixation,Central intermediary metabolism,Central intermediary metabolism::Nitrogen fixation
TIGR02935,179,Nitrogen fixation,Central intermediary metabolism,Central intermediary metabolism::Nitrogen fixation
TIGR02936,179,Nitrogen fixation,Central intermediary metabolism,Central intermediary metabolism::Nitrogen fixation
TIGR02938,179,Nitrogen fixation,Central intermediary metabolism,Central intermediary metabolism::Nitrogen fixation
TIGR02938,263,Protein interactions,Regulatory functions,Regulatory functions::Protein interactions
TIGR02944,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02944,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02945,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02946,703,Enzymes of unknown specificity,Unknown function,Unknown function::Enzymes of unknown specificity
TIGR02949,165,Transcription factors,Transcription,Transcription::Transcription factors
TIGR02956,699,Two-component systems,Signal transduction,Signal transduction::Two-component systems
TIGR02961,122,Other,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Other"
TIGR02961,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02962,122,Other,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Other"
TIGR02963,122,Other,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Other"
TIGR02964,95,Protein folding and stabilization,Protein fate,Protein fate::Protein folding and stabilization
TIGR02964,122,Other,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Other"
TIGR02965,122,Other,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Other"
TIGR02966,699,Two-component systems,Signal transduction,Signal transduction::Two-component systems
TIGR02967,122,Other,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Other"
TIGR02968,120,TCA cycle,Energy metabolism,Energy metabolism::TCA cycle
TIGR02970,120,TCA cycle,Energy metabolism,Energy metabolism::TCA cycle
TIGR02972,110,Anaerobic,Energy metabolism,Energy metabolism::Anaerobic
TIGR02973,110,Anaerobic,Energy metabolism,Energy metabolism::Anaerobic
TIGR02973,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR02974,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02975,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR02976,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR02977,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR02978,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR02979,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR02986,183,Restriction/modification,DNA metabolism,DNA metabolism::Restriction/modification
TIGR02987,183,Restriction/modification,DNA metabolism,DNA metabolism::Restriction/modification
TIGR02988,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR02995,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR02998,134,Degradation of RNA,Transcription,Transcription::Degradation of RNA
TIGR02998,263,Protein interactions,Regulatory functions,Regulatory functions::Protein interactions
TIGR03002,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR03002,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR03006,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR03007,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR03008,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR03009,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR03010,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR03011,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR03012,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR03015,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR03019,157,General,Unknown function,Unknown function::General
TIGR03021,91,Surface structures,Cell envelope,Cell envelope::Surface structures
TIGR03027,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR03031,719,NA,NA,NA::NA
TIGR03032,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR03034,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR03035,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR03036,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR03038,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR03039,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR03041,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR03042,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR03043,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR03044,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR03045,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR03046,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR03047,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR03048,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR03049,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR03052,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR03053,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR03054,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR03055,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR03056,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR03058,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR03060,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR03064,88,Other,Cell envelope,Cell envelope::Other
TIGR03064,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR03066,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR03067,157,General,Unknown function,Unknown function::General
TIGR03069,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR03070,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR03072,169,Translation factors,Protein synthesis,Protein synthesis::Translation factors
TIGR03073,136,Other,Protein synthesis,Protein synthesis::Other
TIGR03076,157,General,Unknown function,Unknown function::General
TIGR03084,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR03085,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR03090,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR03091,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR03092,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR03093,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR03094,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR03095,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR03096,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR03107,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate,"Protein fate::Degradation of proteins, peptides, and glycopeptides"
TIGR03114,719,NA,NA,NA::NA
TIGR03115,719,NA,NA,NA::NA
TIGR03116,719,NA,NA,NA::NA
TIGR03117,719,NA,NA,NA::NA
TIGR03118,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR03119,698,One-carbon metabolism,Central intermediary metabolism,Central intermediary metabolism::One-carbon metabolism
TIGR03120,698,One-carbon metabolism,Central intermediary metabolism,Central intermediary metabolism::One-carbon metabolism
TIGR03123,698,One-carbon metabolism,Central intermediary metabolism,Central intermediary metabolism::One-carbon metabolism
TIGR03124,114,Fermentation,Energy metabolism,Energy metabolism::Fermentation
TIGR03124,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
